Te ni zbar zbar_TF eta ne energy_e energy_e_Te energy_i_Ti iter
eV cm^-3 d.u. d.u. d.u. cm^-3 J.m^-3 J.m^-3 J.m^-3 d.u.
         16.616516113     0.999994254E+017     0.862851944E+001     0.101255011E+002    -0.130687971E+002     0.862847505E+018     0.152133875E+008     0.344568338E+007     0.399336582E+006   17
         17.117017746     0.999994254E+017     0.879868846E+001     0.102944488E+002    -0.130937813E+002     0.879864317E+018     0.159270012E+008     0.361947144E+007     0.411364892E+006   17
         17.617517471     0.999994254E+017     0.896459075E+001     0.104609333E+002    -0.131183324E+002     0.896454459E+018     0.166293664E+008     0.379554628E+007     0.423393157E+006   17
         18.118019104     0.999994254E+017     0.912608226E+001     0.106250321E+002    -0.131424983E+002     0.912603526E+018     0.173888959E+008     0.397369203E+007     0.435421467E+006   17
         18.618518829     0.999994254E+017     0.928209225E+001     0.107868152E+002    -0.131664224E+002     0.928204449E+018     0.181488669E+008     0.415326958E+007     0.447449731E+006   17
         19.119018555     0.999994254E+017     0.943074433E+001     0.109463496E+002    -0.131903247E+002     0.943069593E+018     0.188818370E+008     0.433321940E+007     0.459477996E+006   17
         19.619520187     0.999994254E+017     0.957049390E+001     0.111036979E+002    -0.132143770E+002     0.957044496E+018     0.195810666E+008     0.451254811E+007     0.471506306E+006   17
         20.120019913     0.999994254E+017     0.970138598E+001     0.112589173E+002    -0.132385786E+002     0.970133657E+018     0.202464228E+008     0.469095539E+007     0.483534570E+006   17
         20.620521545     0.999994254E+017     0.982570566E+001     0.114120637E+002    -0.132627025E+002     0.982565576E+018     0.208872204E+008     0.486925488E+007     0.495562881E+006   17
         21.121021271     0.999994254E+017     0.994788940E+001     0.115631876E+002    -0.132863172E+002     0.994783885E+018     0.215219779E+008     0.504946045E+007     0.507591145E+006   17
         21.621520996     0.999994254E+017     0.100739603E+002     0.117123383E+002    -0.133088542E+002     0.100739089E+019     0.222154138E+008     0.523462519E+007     0.519619410E+006   17
         22.122022629     0.999994254E+017     0.102106619E+002     0.118595627E+002    -0.133297024E+002     0.102106093E+019     0.229903862E+008     0.542847500E+007     0.531647720E+006   17
         22.622522354     0.999994254E+017     0.103642646E+002     0.120049032E+002    -0.133483297E+002     0.103642105E+019     0.238496826E+008     0.563480163E+007     0.543675984E+006   17
         23.123023987     0.999994254E+017     0.105390129E+002     0.121484027E+002    -0.133644335E+002     0.105389623E+019     0.248143160E+008     0.585657461E+007     0.555704294E+006   16
         23.623523712     0.999994254E+017     0.107355406E+002     0.122900995E+002    -0.133780789E+002     0.107354875E+019     0.258881020E+008     0.609491576E+007     0.567732559E+006   16
         24.124025345     0.999994254E+017     0.109500818E+002     0.124300325E+002    -0.133897398E+002     0.109500264E+019     0.270536361E+008     0.634842876E+007     0.579760869E+006   16
         24.624525070     0.999994254E+017     0.111752214E+002     0.125682366E+002    -0.134001899E+002     0.111751641E+019     0.285610793E+008     0.661337441E+007     0.591789134E+006   16
         25.125024796     0.999994254E+017     0.114021039E+002     0.127047468E+002    -0.134102731E+002     0.114020450E+019     0.301665520E+008     0.688478851E+007     0.603817398E+006   16
         25.625526428     0.999994254E+017     0.116229960E+002     0.128395966E+002    -0.134206724E+002     0.116229357E+019     0.317385709E+008     0.715797201E+007     0.615845708E+006   16
         26.126026154     0.999994254E+017     0.118329391E+002     0.129728166E+002    -0.134317854E+002     0.118328777E+019     0.332446489E+008     0.742959428E+007     0.627873973E+006   16
         26.626527786     0.999994254E+017     0.120299739E+002     0.131044383E+002    -0.134437352E+002     0.120299115E+019     0.346879457E+008     0.769800757E+007     0.639902283E+006   16
         27.127027512     0.999994254E+017     0.122143273E+002     0.132344898E+002    -0.134564608E+002     0.122142639E+019     0.361372444E+008     0.796289286E+007     0.651930547E+006   16
         27.627527237     0.999994254E+017     0.123873538E+002     0.133629999E+002    -0.134698174E+002     0.123872895E+019     0.375106858E+008     0.822469248E+007     0.663958812E+006   16
         28.128028870     0.999994254E+017     0.125507490E+002     0.134899963E+002    -0.134836440E+002     0.125506838E+019     0.388199014E+008     0.848414446E+007     0.675987122E+006   16
         28.628528595     0.999994254E+017     0.127061501E+002     0.136155041E+002    -0.134977940E+002     0.127060840E+019     0.400761878E+008     0.874202657E+007     0.688015386E+006   16
         29.129030228     0.999994254E+017     0.128549979E+002     0.137395497E+002    -0.135121448E+002     0.128549309E+019     0.412895219E+008     0.899906000E+007     0.700043697E+006   16
         29.629529953     0.999994254E+017     0.129984935E+002     0.138621566E+002    -0.135265984E+002     0.129984257E+019     0.424682395E+008     0.925586252E+007     0.712071961E+006   16
         30.130029678     0.999994254E+017     0.131375999E+002     0.139833492E+002    -0.135410798E+002     0.131375312E+019     0.436961914E+008     0.951293878E+007     0.724100226E+006   16
         30.630531311     0.999994254E+017     0.132730624E+002     0.141031509E+002    -0.135555339E+002     0.132729929E+019     0.449001992E+008     0.977067975E+007     0.736128536E+006   16
         31.131031036     0.999994254E+017     0.134054628E+002     0.142215832E+002    -0.135699200E+002     0.134053925E+019     0.460837838E+008     0.100293879E+008     0.748156800E+006   16
         31.631532669     0.999994254E+017     0.135352988E+002     0.143386686E+002    -0.135842054E+002     0.135352277E+019     0.472506910E+008     0.102893324E+008     0.760185110E+006   16
